last                   credit    wus  last_change         credit_change    wus_change       ppd
-------------------  --------  -----  ----------------  ---------------  ------------  --------
2021-02-14 14:16:22  49480759    863  15:00:07                    59532             1     95238
2021-02-13 23:16:15  49421227    862  1:09:54                    179290             1   3693527
2021-02-13 22:06:21  49241937    861  2:19:54                    269618             3   2775195
2021-02-13 19:46:27  48972319    858  2:40:14                    356812             3   3206631
2021-02-13 17:06:13  48615507    855  1:49:57                    321950             1   4216534
2021-02-13 15:16:16  48293557    854  2:29:59                    398541             1   3826418
2021-02-13 12:46:17  47895016    853  1:29:57                    198839             1   3183192
2021-02-13 11:16:20  47696177    852  2:00:02                    288123             2   3456515
2021-02-13 09:16:18  47408054    850  1:09:54                    176407             1   3634135
2021-02-13 08:06:24  47231647    849  2:10:01                    269126             3   2980705
2021-02-13 05:56:23  46962521    846  2:10:01                    288264             2   3192668
2021-02-13 03:46:22  46674257    844  2:20:01                    349861             2   3598141
2021-02-13 01:26:21  46324396    842  7:30:00                    118646             1    379667
2021-02-12 17:56:21  46205750    841  4:50:00                    148240             1    736088
2021-02-12 13:06:21  46057510    840  1:10:07                    165158             1   3391882
2021-02-12 11:56:14  45892352    839  2:30:04                    365573             2   3507941
2021-02-12 09:26:10  45526779    837  1:19:45                    198902             1   3591459
2021-02-12 08:06:25  45327877    836  4:40:11                    286600             2   1472978
2021-02-12 03:26:14  45041277    834  11:09:53                   159768             1    343441
2021-02-11 16:16:21  44881509    833  2:20:07                    514894             4   5291642
2021-02-11 13:56:14  44366615    829  4:59:57                    352187             2   1690779
2021-02-11 08:56:17  44014428    827  17:20:00                   142992             1    197988
2021-02-10 15:36:17  43871436    826  5:37:53                     70687             2    301255
2021-02-10 09:58:24  43800749    824  2:32:06                     88134             1    834404
2021-02-10 07:26:18  43712615    823  12:05:32                    90334             1    179290
2021-02-09 19:20:46  43622281    822  3 days, 2:14:36            465105             4    150350
2021-02-06 17:06:10  43157176    818  3:40:06                    227600             2   1489068
2021-02-06 13:26:04  42929576    816  14:00:00                   288264             2    494166
2021-02-05 23:26:04  42641312    814  12:40:00                    91174             1    172750
2021-02-05 10:46:04  42550138    813  3:49:06                    117901             1    741062
2021-02-05 06:56:58  42432237    812  18:30:55                    46446             1     60204
2021-02-04 12:26:03  42385791    811  1:39:58                    207949             1   2995464
2021-02-04 10:46:05  42177842    810  1:00:02                    174084             1   4175696
2021-02-04 09:46:03  42003758    809  1:29:53                    198367             1   3177991
2021-02-04 08:16:10  41805391    808  19:10:17                   187980             2    235325
2021-02-03 13:05:53  41617411    806  4:19:58                    155312             1    860299
2021-02-03 08:45:55  41462099    805  4:40:02                     87082             1    447796
2021-02-03 04:05:53  41375017    804  16:09:23                   110967             1    164839
2021-02-02 11:56:30  41264050    803  2:29:43                    116395             1   1119506
2021-02-02 09:26:47  41147655    802  15:08:45                    83994             1    133096
2021-02-01 18:18:02  41063661    801  4:51:18                    146282             1    723124
2021-02-01 13:26:44  40917379    800  1:20:01                    193320             1   3479035
2021-02-01 12:06:43  40724059    799  1:49:25                    287230             2   3780148
2021-02-01 10:17:18  40436829    797  15:10:39                    47463             1     75052
2021-01-31 19:06:39  40389366    796  3:00:03                    105846             1    846532
2021-01-31 16:06:36  40283520    795  4:29:56                    640260             2   3415563
2021-01-31 11:36:40  39643260    793  1:40:05                    244202             1   3513580
2021-01-31 09:56:35  39399058    792  15:49:59                   160958             2    243982
2021-01-30 18:06:36  39238100    790  4:00:10                    165322             1    991243
2021-01-30 14:06:26  39072778    789  2:19:49                    357511             2   3682077
2021-01-30 11:46:37  38715267    787  2:49:59                    422295             2   3577437
2021-01-30 08:56:38  38292972    785  0:40:01                    113820             1   4095813
2021-01-30 08:16:37  38179152    784  17:30:06                   159826             2    219169
2021-01-29 14:46:31  38019326    782  1:59:54                    276993             1   3326688
2021-01-29 12:46:37  37742333    781  1:20:03                    199185             1   3583090
2021-01-29 11:26:34  37543148    780  1:10:06                    166113             1   3412306
2021-01-29 10:16:28  37377035    779  1:09:59                    180687             1   3717874
2021-01-29 09:06:29  37196348    778  2:29:56                    404681             3   3886665
2021-01-29 06:36:33  36791667    775  14:00:02                    25146             1     43105
2021-01-28 16:36:31  36766521    774  3:19:52                    106641             1    768327
2021-01-28 13:16:39  36659880    773  1:08:58                    166036             1   3466773
2021-01-28 12:07:41  36493844    772  2:21:01                    356770             2   3643177
2021-01-28 09:46:40  36137074    770  1:50:06                    243603             1   3186088
