last                      credit      wus  last_change       credit_change    wus_change        ppd
-------------------  -----------  -------  --------------  ---------------  ------------  ---------
2021-02-17 07:56:24  28839771632  1727606  0:59:55                  861106            12   20695287
2021-02-17 06:56:29  28838910526  1727594  1:50:12                 1103425            20   14418620
2021-02-17 05:06:17  28837807101  1727574  1:19:52                  414933            10    7481262
2021-02-17 03:46:25  28837392168  1727564  0:20:04                   58377             4    4189180
2021-02-17 03:26:21  28837333791  1727560  1:19:53                  469168            10    8457357
2021-02-17 02:06:28  28836864623  1727550  0:30:05                  239980             5   11487131
2021-02-17 01:36:23  28836624643  1727545  1:10:01                  901257            15   18535730
2021-02-17 00:26:22  28835723386  1727530  1:29:57                  989793            18   15845491
2021-02-16 22:56:25  28834733593  1727512  0:50:05                  515680             9   14826872
2021-02-16 22:06:20  28834217913  1727503  1:59:52                 1413613            20   16982225
2021-02-16 20:06:28  28832804300  1727483  1:39:57                  868147            19   12507570
2021-02-16 18:26:31  28831936153  1727464  0:20:05                  258852             7   18560010
2021-02-16 18:06:26  28831677301  1727457  0:40:06                  455221             6   16347088
2021-02-16 17:26:20  28831222080  1727451  1:39:52                  688434            13    9926685
2021-02-16 15:46:28  28830533646  1727438  1:40:07                 2067838            25   29742168
2021-02-16 14:06:21  28828465808  1727413  1:30:01                  594539            12    9510862
2021-02-16 12:36:20  28827871269  1727401  0:29:55                   64224             3    3091339
2021-02-16 12:06:25  28827807045  1727398  1:59:51                 1507162            18   18108579
2021-02-16 10:06:34  28826299883  1727380  1:50:13                  976758            22   12761513
2021-02-16 08:16:21  28825323125  1727358  2:09:49                 1006262            30   11162028
2021-02-16 06:06:32  28824316863  1727328  1:20:12                  503415            11    9038872
2021-02-16 04:46:20  28823813448  1727317  1:10:00                  900103            13   18516404
2021-02-16 03:36:20  28822913345  1727304  1:19:57                  700992            15   12625747
2021-02-16 02:16:23  28822212353  1727289  0:40:03                   87758             5    3155343
2021-02-16 01:36:20  28822124595  1727284  1:09:59                  411980            11    8477035
2021-02-16 00:26:21  28821712615  1727273  1:29:50                  659521            16   10571913
2021-02-15 22:56:31  28821053094  1727257  0:50:09                  361338            11   10375408
2021-02-15 22:06:22  28820691756  1727246  1:59:53                 2626404            28   31547519
2021-02-15 20:06:29  28818065352  1727218  1:50:13                 1137017            16   14855325
2021-02-15 18:16:16  28816928335  1727202  0:59:53                  321282             7    7725790
2021-02-15 17:16:23  28816607053  1727195  1:00:01                 1070254            15   25678962
2021-02-15 16:16:22  28815536799  1727180  0:40:08                  281903             6   10114792
2021-02-15 15:36:14  28815254896  1727174  0:39:49                  540415             6   19544519
2021-02-15 14:56:25  28814714481  1727168  1:49:48                 1203754            18   15786937
2021-02-15 13:06:37  28813510727  1727150  0:50:17                  710985            14   20360989
2021-02-15 12:16:20  28812799742  1727136  2:09:50                 1350979            22   14983900
2021-02-15 10:06:30  28811448763  1727114  1:50:12                 1279251            13   16716165
2021-02-15 08:16:18  28810169512  1727101  2:09:57                 2218239            30   24580716
2021-02-15 06:06:21  28807951273  1727071  1:49:56                  515980            20    6758743
2021-02-15 04:16:25  28807435293  1727051  0:49:00                  695463            11   20438096
2021-02-15 03:27:25  28806739830  1727040  1:11:01                 1058544            15   21464022
2021-02-15 02:16:24  28805681286  1727025  0:40:02                  457720            11   16464199
2021-02-15 01:36:22  28805223566  1727014  1:09:23                  835252            16   17335040
2021-02-15 00:26:59  28804388314  1726998  1:30:33                 1051055            21   16714734
2021-02-14 22:56:26  28803337259  1726977  0:49:58                  934241            17   26924090
2021-02-14 22:06:28  28802403018  1726960  1:30:01                 1167949            21   18683724
2021-02-14 20:36:27  28801235069  1726939  0:30:10                  120035             5    5729847
2021-02-14 20:06:17  28801115034  1726934  1:39:55                 1187224            27   17110284
2021-02-14 18:26:22  28799927810  1726907  1:09:57                 1407582            18   28976670
2021-02-14 17:16:25  28798520228  1726889  1:00:10                  554180             9   13263477
2021-02-14 16:16:15  28797966048  1726880  2:09:53                 1461575            22   16204296
2021-02-14 14:06:22  28796504473  1726858  1:50:01                 1559848            30   20416734
2021-02-14 12:16:21  28794944625  1726828  2:09:59                 1668448            40   18483639
2021-02-14 10:06:22  28793276177  1726788  1:50:05                  926508            10   12119650
2021-02-14 08:16:17  28792349669  1726778  2:19:53                 1423790            28   14656911
2021-02-14 05:56:24  28790925879  1726750  1:40:05                 1094887            19   15753245
2021-02-14 04:16:19  28789830992  1726731  0:39:53                  340293            10   12286383
