last                    credit    wus  last_change        credit_change    wus_change      ppd
-------------------  ---------  -----  ---------------  ---------------  ------------  -------
2021-03-16 10:16:07  595063216  54396  3:50:01                    19275             1   120669
2021-03-16 06:26:06  595043941  54395  13:40:09                    3310             1     5811
2021-03-15 16:45:57  595040631  54394  4:29:50                    19983             1   106641
2021-03-15 12:16:07  595020648  54393  1:30:12                     1075             1    17161
2021-03-15 10:45:55  595019573  54392  8:10:03                    19275             1    56639
2021-03-15 02:35:52  595000298  54391  1:19:51                     3310             1    59691
2021-03-15 01:16:01  594996988  54390  2:50:05                   116079             2   982775
2021-03-14 22:25:56  594880909  54388  2:09:58                     2500             2    27699
2021-03-14 20:15:58  594878409  54386  0:39:50                   227563             2  8226545
2021-03-14 19:36:08  594650846  54384  0:40:02                     8345             2   300169
2021-03-14 18:56:06  594642501  54382  2:20:12                   579146             4  5948432
2021-03-14 16:35:54  594063355  54378  0:29:58                    19248             1   924931
2021-03-14 16:05:56  594044107  54377  2:29:56                   451713             3  4338372
2021-03-14 13:36:00  593592394  54374  0:30:01                   101615             1  4874811
2021-03-14 13:05:59  593490779  54373  1:09:59                   360199             4  7411572
2021-03-14 11:56:00  593130580  54369  6:59:58                    82591             3   283191
2021-03-14 04:56:02  593047989  54366  5:00:09                     1230             1     5901
2021-03-13 23:55:53  593046759  54365  3:49:19                    86273             2   541753
2021-03-13 20:06:34  592960486  54363  2:10:31                     4700             2    51855
2021-03-13 17:56:03  592955786  54361  1:30:02                     1075             1    17193
2021-03-13 16:26:01  592954711  54360  3:40:08                     3310             1    21652
2021-03-13 12:45:53  592951401  54359  0:29:45                     1250             1    60504
2021-03-13 12:16:08  592950151  54358  3:50:15                     4410             2    27580
2021-03-13 08:25:53  592945741  54356  0:10:04                     1250             1   178807
2021-03-13 08:15:49  592944491  54355  2:29:50                     1360             1    13070
2021-03-13 05:45:59  592943131  54354  5:00:02                     4670             2    22413
2021-03-13 00:45:57  592938461  54352  1:09:58                     1360             1    27990
2021-03-12 23:35:59  592937101  54351  2:19:56                     3310             1    34061
2021-03-12 21:16:03  592933791  54350  1:20:03                   272000             2  4892941
2021-03-12 19:56:00  592661791  54348  0:50:04                    19403             1   558062
2021-03-12 19:05:56  592642388  54347  1:19:54                   223888             1  4035027
2021-03-12 17:46:02  592418500  54346  0:49:57                   226115             2  6518630
2021-03-12 16:56:05  592192385  54344  0:40:16                   218325             2  7807649
2021-03-12 16:15:49  591974060  54342  1:59:48                   241745             4  2905782
2021-03-12 14:16:01  591732315  54338  2:10:02                   466075             6  5161353
2021-03-12 12:05:59  591266240  54332  2:50:00                    63326             3   536408
2021-03-12 09:15:59  591202914  54329  1:50:11                     1250             1    16336
2021-03-12 07:25:48  591201664  54328  4:09:52                     3310             1    19075
2021-03-12 03:15:56  591198354  54327  1:39:56                     1075             1    15490
2021-03-12 01:36:00  591197279  54326  3:30:09                     1360             1     9319
2021-03-11 22:05:51  591195919  54325  2:39:48                     3600             1    32440
2021-03-11 19:26:03  591192319  54324  2:30:12                     1360             1    13038
2021-03-11 16:55:51  591190959  54323  0:49:54                     1360             1    39246
2021-03-11 16:05:57  591189599  54322  3:29:57                     1360             1     9327
2021-03-11 12:36:00  591188239  54321  0:29:55                     1250             1    60167
2021-03-11 12:06:05  591186989  54320  1:10:05                      866             1    17793
2021-03-11 10:56:00  591186123  54319  3:07:19                     2610             2    20064
2021-03-11 07:48:41  591183513  54317  3:52:50                     2720             2    16822
2021-03-11 03:55:51  591180793  54315  2:07:27                    19275             1   217779
2021-03-11 01:48:24  591161518  54314  4 days, 5:42:36          5659463           245  1335435
2021-03-06 20:05:48  585502055  54069  9:50:01                     6910             2    16864
2021-03-06 10:15:47  585495145  54067  3:20:01                     6002             3    43210
2021-03-06 06:55:46  585489143  54064  1:58:33                     1250             1    15183
2021-03-06 04:57:13  585487893  54063  4:11:28                     6620             2    37908
2021-03-06 00:45:45  585481273  54061  8:00:05                    19275             1    57814
2021-03-05 16:45:40  585461998  54060  1:49:50                      866             1    11353
2021-03-05 14:55:50  585461132  54059  1:39:12                     1100             1    15967
2021-03-05 13:16:38  585460032  54058  1:00:10                    19275             1   461318
2021-03-05 12:16:28  585440757  54057  5:20:54                     3310             1    14853
2021-03-05 06:55:34  585437447  54056  1:39:58                     1250             1    18006
2021-03-05 05:15:36  585436197  54055  1:10:00                     1250             1    25714
2021-03-05 04:05:36  585434947  54054  0:49:48                     3670             1   106120
2021-03-05 03:15:48  585431277  54053  4:00:07                     3310             1    19850
2021-03-04 23:15:41  585427967  54052  0:59:58                    19913             1   478177
2021-03-04 22:15:43  585408054  54051  7:10:01                     1100             1     3683
2021-03-04 15:05:42  585406954  54050  5:20:09                     1250             1     5622
2021-03-04 09:45:33  585405704  54049  2:29:57                     4270             1    41005
2021-03-04 07:15:36  585401434  54048  4:49:54                     3310             1    16441
2021-03-04 02:25:42  585398124  54047  1:49:58                     1250             1    16368
2021-03-04 00:35:44  585396874  54046  6:00:03                     4270             1    17077
2021-03-03 18:35:41  585392604  54045  1:09:56                    19613             1   403852
2021-03-03 17:25:45  585372991  54044  5:10:03                      970             1     4505
2021-03-03 12:15:42  585372021  54043  3:40:07                     4270             1    27934
2021-03-03 08:35:35  585367751  54042  5:19:56                    19275             1    86755
2021-03-03 03:15:39  585348476  54041  6:10:04                    96882             1   376986
2021-03-02 21:05:35  585251594  54040  2:00:01                     1250             1    14997
2021-03-02 19:05:34  585250344  54039  0:19:53                     3310             1   239718
2021-03-02 18:45:41  585247034  54038  3:40:00                      866             1     5668
2021-03-02 15:05:41  585246168  54037  1:49:56                     1100             1    14408
2021-03-02 13:15:45  585245068  54036  1:50:16                      900             1    11753
2021-03-02 11:25:29  585244168  54035  1:29:50                    19275             1   308972
2021-03-02 09:55:39  585224893  54034  6:40:10                     3310             1    11911
2021-03-02 03:15:29  585221583  54033  1:49:43                     2500             2    32811
2021-03-02 01:25:46  585219083  54031  1:10:04                      900             1    18496
2021-03-02 00:15:42  585218183  54030  2:40:02                     4700             2    42291
2021-03-01 21:35:40  585213483  54028  6:59:57                     3600             1    12344
2021-03-01 14:35:43  585209883  54027  3:19:56                    20141             2   145063
2021-03-01 11:15:47  585189742  54025  4:40:09                     1100             1     5654
2021-03-01 06:35:38  585188642  54024  4:10:08                     3310             1    19055
2021-03-01 02:25:30  585185332  54023  8:39:46                     1250             1     3463
2021-02-28 17:45:44  585184082  54022  1:10:05                      866             1    17793
2021-02-28 16:35:39  585183216  54021  0:30:06                     1250             1    59800
2021-02-28 16:05:33  585181966  54020  2:19:53                    19275             1   198422
2021-02-28 13:45:40  585162691  54019  2:59:57                     1250             1    10002
2021-02-28 10:45:43  585161441  54018  2:50:02                    19275             1   163238
2021-02-28 07:55:41  585142166  54017  4:10:07                     3310             1    19056
2021-02-28 03:45:34  585138856  54016  4:30:04                     3310             1    17648
2021-02-27 23:15:30  585135546  54015  1:29:53                     1075             1    17222
2021-02-27 21:45:37  585134471  54014  1:49:58                     1250             1    16368
2021-02-27 19:55:39  585133221  54013  21:09:06                   30185             6    34249
2021-02-26 22:46:33  585103036  54007  4:09:52                     3310             1    19075
2021-02-26 18:36:41  585099726  54006  2:40:07                     3600             1    32376
2021-02-26 15:56:34  585096126  54005  15:39:58                    6130             3     9390
2021-02-26 00:16:36  585089996  54002  7:10:06                     3100             3    10378
2021-02-25 17:06:30  585086896  53999  2:00:00                    12084             1   145008
2021-02-25 15:06:30  585074812  53998  5:49:57                    19275             1    79314
2021-02-25 09:16:33  585055537  53997  2:19:58                     1250             1    12860
2021-02-25 06:56:35  585054287  53996  1:49:59                     1250             1    16366
2021-02-25 05:06:36  585053037  53995  12:40:02                     900             1     1705
2021-02-24 16:26:34  585052137  53994  3:30:03                     8160             3    55940
2021-02-24 12:56:31  585043977  53991  0:50:00                     1250             1    36000
2021-02-24 12:06:31  585042727  53990  1:59:56                     3670             1    44064
2021-02-24 10:06:35  585039057  53989  2:50:08                     1836             2    15539
2021-02-24 07:16:27  585037221  53987  4:19:46                     1250             1     6929
2021-02-24 02:56:41  585035971  53986  4:00:00                     3310             1    19860
2021-02-23 22:56:41  585032661  53985  4:10:02                     3310             1    19063
2021-02-23 18:46:39  585029351  53984  3:00:04                    19763             1   158045
2021-02-23 15:46:35  585009588  53983  5:09:54                     1250             1     5808
2021-02-23 10:36:41  585008338  53982  3:50:17                      866             1     5415
2021-02-23 06:46:24  585007472  53981  1:29:52                     1250             1    20029
2021-02-23 05:16:32  585006222  53980  1:29:53                      970             1    15540
2021-02-23 03:46:39  585005252  53979  8:20:12                     4560             2    13127
2021-02-22 19:26:27  585000692  53977  0:49:50                      419             1    12107
2021-02-22 18:36:37  585000273  53976  2:00:02                      900             1    10797
2021-02-22 16:36:35  584999373  53975  2:00:01                     1250             1    14997
2021-02-22 14:36:34  584998123  53974  2:00:08                      970             1    11627
2021-02-22 12:36:26  584997153  53973  3:09:55                    19275             1   146148
2021-02-22 09:26:31  584977878  53972  3:00:01                     2119             3    16950
2021-02-22 06:26:30  584975759  53969  2:00:04                     1250             1    14991
2021-02-22 04:26:26  584974509  53968  0:49:49                      487             1    14077
2021-02-22 03:36:37  584974022  53967  5:10:02                      866             1     4022
2021-02-21 22:26:35  584973156  53966  1:00:01                      487             1    11684
2021-02-21 21:26:34  584972669  53965  1:50:09                     1100             1    14380
2021-02-21 19:36:25  584971569  53964  1:39:55                     1250             1    18015
2021-02-21 17:56:30  584970319  53963  4:39:52                      866             1     4455
2021-02-21 13:16:38  584969453  53962  4:00:12                    19275             1   115553
2021-02-21 09:16:26  584950178  53961  1:49:49                      974             2    12771
2021-02-21 07:26:37  584949204  53959  9:40:04                     1250             1     3103
2021-02-20 21:46:33  584947954  53958  1:39:55                      970             1    13979
2021-02-20 20:06:38  584946984  53957  2:50:09                     1100             1     9309
2021-02-20 17:16:29  584945884  53956  1:29:54                     1100             1    17619
2021-02-20 15:46:35  584944784  53955  2:10:06                     2000             2    22136
2021-02-20 13:36:29  584942784  53953  1:49:57                      970             1    12703
2021-02-20 11:46:32  584941814  53952  1:50:06                      866             1    11326
2021-02-20 09:56:26  584940948  53951  1:49:55                     1100             1    14410
2021-02-20 08:06:31  584939848  53950  2:30:11                     1100             1    10547
2021-02-20 05:36:20  584938748  53949  6:09:52                    19275             1    75043
2021-02-19 23:26:28  584919473  53948  7:50:09                      487             1     1491
2021-02-19 15:36:19  584918986  53947  1:49:50                     1250             1    16388
2021-02-19 13:46:29  584917736  53946  1:29:59                     1250             1    20003
2021-02-19 12:16:30  584916486  53945  2:20:07                     2250             2    23123
2021-02-19 09:56:23  584914236  53943  6:29:58                    20541             3    75850
2021-02-19 03:26:25  584893695  53940  8:49:57                      900             1     2445
2021-02-18 18:36:28  584892795  53939  1:50:00                     1250             1    16363
2021-02-18 16:46:28  584891545  53938  0:59:58                      487             1    11694
2021-02-18 15:46:30  584891058  53937  8:59:59                    19762             2    52700
