last                      credit      wus  last_change        credit_change    wus_change        ppd
-------------------  -----------  -------  ---------------  ---------------  ------------  ---------
2021-03-15 15:36:03  18764206784  1387393  1:19:58                  1459596            21   26283679
2021-03-15 14:16:05  18762747188  1387372  0:19:57                   887644             5   64070544
2021-03-15 13:56:08  18761859544  1387367  1:40:01                  2003241            36   28841863
2021-03-15 12:16:07  18759856303  1387331  2:00:08                  2260679            34   27098039
2021-03-15 10:15:59  18757595624  1387297  1:59:59                  2704863            36   32462864
2021-03-15 08:16:00  18754890761  1387261  2:10:03                  1935872            39   21435260
2021-03-15 06:05:57  18752954889  1387222  0:19:55                    93891             4    6788437
2021-03-15 05:46:02  18752860998  1387218  1:30:03                  1589416            25   25416535
2021-03-15 04:15:59  18751271582  1387193  1:49:51                  1260377            20   16522010
2021-03-15 02:26:08  18750011205  1387173  0:40:03                   475883             9   17110400
2021-03-15 01:46:05  18749535322  1387164  1:10:02                  1191999            16   24509451
2021-03-15 00:36:03  18748343323  1387148  2:30:02                  2660069            40   25530988
2021-03-14 22:06:01  18745683254  1387108  2:00:01                  1545251            29   18540436
2021-03-14 20:06:00  18744138003  1387079  0:19:53                    79444             4    5753530
2021-03-14 19:46:07  18744058559  1387075  1:40:10                  1495387            19   21497743
2021-03-14 18:05:57  18742563172  1387056  0:39:47                   708644            13   25650122
2021-03-14 17:26:10  18741854528  1387043  0:40:15                   337989             8   12092028
2021-03-14 16:45:55  18741516539  1387035  1:10:00                  1651721            23   33978260
2021-03-14 15:35:55  18739864818  1387012  1:29:56                  1445191            21   23140196
2021-03-14 14:05:59  18738419627  1386991  0:19:57                   130794             6    9440769
2021-03-14 13:46:02  18738288833  1386985  1:30:03                  1010426            24   16157839
2021-03-14 12:15:59  18737278407  1386961  1:29:49                  1928296            30   30915712
2021-03-14 10:46:10  18735350111  1386931  0:30:07                   166196             4    7946504
2021-03-14 10:16:03  18735183915  1386927  2:00:01                  1444164            33   17327561
2021-03-14 08:16:02  18733739751  1386894  1:59:57                  2036825            26   24452088
2021-03-14 06:16:05  18731702926  1386868  1:10:01                  1212291            20   24932621
2021-03-14 05:06:04  18730490635  1386848  0:49:55                   745074            12   21493954
2021-03-14 04:16:09  18729745561  1386836  1:50:15                  1672789            27   21848672
2021-03-14 02:25:54  18728072772  1386809  0:39:49                   563284             9   20371593
2021-03-14 01:46:05  18727509488  1386800  0:39:14                   988433            12   36278934
2021-03-14 01:06:51  18726521055  1386788  0:30:58                   350278             8   16288492
2021-03-14 00:35:53  18726170777  1386780  2:29:24                  1645004            34   15855460
2021-03-13 22:06:29  18724525773  1386746  1:59:57                  1209285            36   14517468
2021-03-13 20:06:32  18723316488  1386710  0:30:26                   640732            10   30317220
2021-03-13 19:36:06  18722675756  1386700  1:20:01                   887324            15   15968505
2021-03-13 18:16:05  18721788432  1386685  0:50:01                   754695            12   21727973
2021-03-13 17:26:04  18721033737  1386673  2:00:00                  2110052            35   25320624
2021-03-13 15:26:04  18718923685  1386638  0:50:02                   962939            18   27714167
2021-03-13 14:36:02  18717960746  1386620  0:29:59                   559908             7   26890523
2021-03-13 14:06:03  18717400838  1386613  1:49:54                  1625016            33   21292293
2021-03-13 12:16:09  18715775822  1386580  2:00:14                  1497724            38   17937808
2021-03-13 10:15:55  18714278098  1386542  1:40:02                   844603            24   12158230
2021-03-13 08:35:53  18713433495  1386518  0:19:59                   116178             5    8371792
2021-03-13 08:15:54  18713317317  1386513  1:59:56                  1266047            33   15201009
2021-03-13 06:15:58  18712051270  1386480  0:29:56                   274784             7   13219007
2021-03-13 05:46:02  18711776486  1386473  0:40:01                   752335            12   27072779
2021-03-13 05:06:01  18711024151  1386461  0:49:55                   560492            11   16169118
2021-03-13 04:16:06  18710463659  1386450  1:50:17                  1259772            28   16449191
2021-03-13 02:25:49  18709203887  1386422  0:59:49                   609851            11   14681283
2021-03-13 01:26:00  18708594036  1386411  0:39:57                   403045            12   14527779
2021-03-13 00:46:03  18708190991  1386399  0:30:03                   882523            10   42290619
2021-03-13 00:16:00  18707308468  1386389  2:09:57                  1471662            38   16307758
2021-03-12 22:06:03  18705836806  1386351  1:29:54                   663002            29   10619831
2021-03-12 20:36:09  18705173804  1386322  0:45:43                  1089010            14   34302028
2021-03-12 19:50:26  18704084794  1386308  0:34:29                    53305             3    2225979
2021-03-12 19:15:57  18704031489  1386305  1:19:55                  1168312            14   21051544
2021-03-12 17:56:02  18702863177  1386291  0:30:06                   229331             8   10971316
2021-03-12 17:25:56  18702633846  1386283  2:00:05                  2145919            44   25733157
2021-03-12 15:25:51  18700487927  1386239  0:29:48                   428559             9   20708891
2021-03-12 14:56:03  18700059368  1386230  0:39:59                   577606             9   20802483
2021-03-12 14:16:04  18699481762  1386221  1:59:59                  1833167            43   22001059
2021-03-12 12:16:05  18697648595  1386178  2:00:04                  1427218            34   17117106
2021-03-12 10:16:01  18696221377  1386144  2:00:00                  2393783            45   28725396
2021-03-12 08:16:01  18693827594  1386099  0:49:58                   993637             8   28635836
2021-03-12 07:26:03  18692833957  1386091  1:10:11                  1391518            25   28550737
2021-03-12 06:15:52  18691442439  1386066  2:09:52                  2124437            29   23556385
2021-03-12 04:06:00  18689318002  1386037  1:40:02                  1408596            25   20277023
2021-03-12 02:25:58  18687909406  1386012  0:49:58                   868709            11   25035509
2021-03-12 01:36:00  18687040697  1386001  1:00:00                  1535053            23   36841272
2021-03-12 00:36:00  18685505644  1385978  2:20:05                  1802160            39   18525475
2021-03-11 22:15:55  18683703484  1385939  2:09:55                  2430713            48   26942091
2021-03-11 20:06:00  18681272771  1385891  1:49:54                  1719991            45   22536733
2021-03-11 18:16:06  18679552780  1385846  0:50:03                  1272250            24   36604195
2021-03-11 17:26:03  18678280530  1385822  1:50:03                  1554031            26   20334435
2021-03-11 15:36:00  18676726499  1385796  0:59:59                   997343            16   23942882
2021-03-11 14:36:01  18675729156  1385780  2:19:56                  2058659            46   21184866
2021-03-11 12:16:05  18673670497  1385734  1:10:05                  1003322            27   20615224
2021-03-11 11:06:00  18672667175  1385707  1:50:08                  1369381            39   17904739
2021-03-11 09:15:52  18671297794  1385668  2:20:03                  1262446            32   12980522
2021-03-11 06:55:49  18670035348  1385636  1:49:50                   831539            30   10902119
2021-03-11 05:05:59  18669203809  1385606  0:30:05                   258775             6   12386792
2021-03-11 04:35:54  18668945034  1385600  0:30:02                    63124             5    3026589
2021-03-11 04:05:52  18668881910  1385595  1:40:00                   522089            23    7518081
2021-03-11 02:25:52  18668359821  1385572  0:49:59                   372322            14   10726449
2021-03-11 01:35:53  18667987499  1385558  0:59:59                   384319            11    9226218
2021-03-11 00:35:54  18667603180  1385547  1 day, 3:09:59          17136106           518   15138800
2021-03-09 21:25:55  18650467074  1385029  1 day, 14:58:05         28223032           826   17382257
2021-03-08 06:27:50  18622244042  1384203  2:21:29                 49613496          3104  504960072
2021-03-08 04:06:21  18572630546  1381099  1 day, 4:00:43          19718265           571   16894163
2021-03-07 00:05:38  18552912281  1380528  2:09:51                  1549808            44   17186935
2021-03-06 21:55:47  18551362473  1380484  0:49:59                   329879            13    9503683
2021-03-06 21:05:48  18551032594  1380471  0:59:56                   562028            18   13503676
2021-03-06 20:05:52  18550470566  1380453  1:00:13                   754280            17   18037584
2021-03-06 19:05:39  18549716286  1380436  1:00:00                   546548            14   13117152
2021-03-06 18:05:39  18549169738  1380422  0:40:00                   126836             8    4566096
2021-03-06 17:25:39  18549042902  1380414  1:39:55                  1457081            36   20999465
2021-03-06 15:45:44  18547585821  1380378  1:39:59                  1224602            33   17637208
2021-03-06 14:05:45  18546361219  1380345  0:59:56                   611790            20   14699292
2021-03-06 13:05:49  18545749429  1380325  0:49:58                   827213            17   23839627
2021-03-06 12:15:51  18544922216  1380308  2:00:04                   824478            34    9888242
2021-03-06 10:15:47  18544097738  1380274  1:59:54                  1907135            42   22904707
2021-03-06 08:15:53  18542190603  1380232  2:00:16                  1315865            39   15755368
2021-03-06 06:15:37  18540874738  1380193  1:09:52                   788783            19   16257359
2021-03-06 05:05:45  18540085955  1380174  0:49:51                   755018            12   21809948
2021-03-06 04:15:54  18539330937  1380162  2:00:12                  1299885            35   15572665
2021-03-06 02:15:42  18538031052  1380127  0:39:56                   619668            12   22345290
2021-03-06 01:35:46  18537411384  1380115  1:10:02                  1263522            26   25980081
2021-03-06 00:25:44  18536147862  1380089  2:20:07                  1159473            38   11916077
2021-03-05 22:05:37  18534988389  1380051  1:59:53                  1365885            34   16406570
2021-03-05 20:05:44  18533622504  1380017  0:59:54                   903488            18   21719911
2021-03-05 19:05:50  18532719016  1379999  0:50:12                   795683            17   22824372
2021-03-05 18:15:38  18531923333  1379982  0:49:48                   344262            11    9954563
2021-03-05 17:25:50  18531579071  1379971  1:40:12                  1693440            32   24336862
2021-03-05 15:45:38  18529885631  1379939  0:59:50                   805462            20   19384935
2021-03-05 14:45:48  18529080169  1379919  1:29:08                  1371833            34   22162747
2021-03-05 13:16:40  18527708336  1379885  0:50:57                   598267            17   16908821
2021-03-05 12:25:43  18527110069  1379868  0:09:15                    88817             3   13826646
2021-03-05 12:16:28  18527021252  1379865  2:00:21                  1274373            35   15248002
2021-03-05 10:16:07  18525746879  1379830  2:00:14                  1817130            38   21763242
2021-03-05 08:15:53  18523929749  1379792  1:10:15                   562046            25   11520942
2021-03-05 07:05:38  18523367703  1379767  1:59:52                  1315054            31   15798201
2021-03-05 05:05:46  18522052649  1379736  0:49:56                   318857            13    9195342
